whale.id;date.caught;length;weight;maturity;sex;age;latitude;longitude;NS;year
1;2004-06-10 22:00:00;780;NA;pregnant;Female;11,3;65,6618333333333;-21,4235;North;2004
690;2004-06-15 17:00:00;793;NA;pregnant;Female;NA;65,6535;-21,3918333333333;North;2004
926;2004-06-22 01:00:00;858;NA;pregnant;Female;15,5;66,5116666666667;-19,8133333333333;North;2004
1333;2003-09-30 16:00:00;567;NA;immature;Male;7,2;65,6733333333333;-21,575;North;2003
1334;2003-09-25 15:00:00;774;NA;immature;Female;12,3;66,29;-15,6116666666667;North;2003
1335;2003-09-16 16:00:00;526;NA;immature;Female;9,6;66,1783333333333;-18,67;North;2003
1336;2003-09-12 17:00:00;809;NA;pregnant;Female;17,3;65,6633333333333;-21,455;North;2003
1338;2003-09-09 12:00:00;820;NA;pregnant;Female;13,8;66,1;-22,75;North;2003
1339;2003-08-31 13:00:00;697;NA;pubertal;Male;12,2;66,6;-17,4983333333333;North;2003
1341;2003-08-30 17:00:00;777;NA;mature;Male;15,4;66,2083333333333;-14,6583333333333;North;2003
1342;2003-08-29 12:00:00;739;NA;mature;Male;16,5;66,255;-14,6633333333333;North;2003
1343;2003-08-28 19:00:00;542;NA;immature;Female;NA;66,45;-15,75;North;2003
1344;2003-08-26 16:00:00;508;NA;immature;Male;NA;66,17;-19,2816666666667;North;2003
1345;2003-08-25 15:00:00;754;NA;mature;Male;9,8;65,9166666666667;-19,6;North;2003
1346;2003-08-23 09:00:00;797;NA;pregnant;Female;NA;66,0666666666667;-22,8033333333333;North;2003
1347;2003-08-20 08:00:00;802;NA;mature;Male;NA;66,0116666666667;-21,2266666666667;North;2003
1430;2004-06-22 09:00:00;840;NA;pregnant;Female;15,9;66,5013333333333;-19,8158333333333;North;2004
1432;2004-06-26 05:00:00;761;NA;pregnant;Female;14;65,8833333333333;-19,5866666666667;North;2004
1434;2004-07-04 16:00:00;819;NA;anoestrous;Female;16,6;65,5;-21,05;North;2004
1435;2004-06-04 19:00:00;836;NA;mature;Male;46,8;64,6166666666667;-22,5166666666667;South;2004
1437;2004-06-15 13:00:00;764;NA;mature;Male;9,9;64,25;-22,95;South;2004
1439;2004-06-08 07:00:00;774;4620;pregnant;Female;10,9;64,65;-22,75;South;2004
1440;2004-06-16 11:00:00;778;NA;mature;Male;25,3;64,1833333333333;-23,4;South;2004
