"";"sample.id";"year";"month";"day";"station.id";"lat";"lon";"depth";"sex";"maturity_stage";"age";"length";"ungutted.weight";"gutted.weight";"liver.weight";"gonad.weight";"species"
"1";62834;1994;3;11;82;64,2613333333333;-24,81425;171;"M";1;NA;20;81;78;NA;NA;24
"2";62834;1994;3;11;82;64,2613333333333;-24,81425;171;"F";2;NA;24;136;129;NA;NA;24
"3";62835;1994;3;11;83;64,3774166666667;-25,03;213,5;"F";2;NA;35;543;525;NA;NA;24
"4";62838;1994;3;11;86;64,1415;-24,9684166666667;191,5;"F";2;NA;35;473;446;NA;NA;24
"5";62838;1994;3;11;86;64,1415;-24,9684166666667;191,5;"F";1;NA;24;150;145;NA;NA;24
"6";62838;1994;3;11;86;64,1415;-24,9684166666667;191,5;"M";2;NA;23;131;126;NA;NA;24
"7";62839;1994;3;11;87;64,1454166666667;-24,81925;195,5;"M";2;NA;29;263;256;NA;NA;24
"8";62839;1994;3;11;87;64,1454166666667;-24,81925;195,5;"M";2;NA;33;349;338;NA;NA;24
"9";62839;1994;3;11;87;64,1454166666667;-24,81925;195,5;"M";2;NA;32;324;314;NA;NA;24
"10";62839;1994;3;11;87;64,1454166666667;-24,81925;195,5;"F";1;NA;36;492;478;NA;NA;24
"11";62839;1994;3;11;87;64,1454166666667;-24,81925;195,5;"M";2;NA;31;299;288;NA;NA;24
"12";62784;1994;3;6;32;63,6185;-23,9955;154,5;"M";2;NA;30;286;279;NA;NA;24
"13";62784;1994;3;6;32;63,6185;-23,9955;154,5;"M";2;NA;27;198;191;NA;NA;24
"14";62784;1994;3;6;32;63,6185;-23,9955;154,5;"F";2;NA;31;357;334;NA;NA;24
"15";62784;1994;3;6;32;63,6185;-23,9955;154,5;"F";2;NA;29;295;280;NA;NA;24
"16";62784;1994;3;6;32;63,6185;-23,9955;154,5;"M";2;NA;27;218;213;NA;NA;24
"17";62784;1994;3;6;32;63,6185;-23,9955;154,5;"M";2;NA;31;321;310;NA;NA;24
"18";62784;1994;3;6;32;63,6185;-23,9955;154,5;"F";1;NA;28;251;241;NA;NA;24
"19";62784;1994;3;6;32;63,6185;-23,9955;154,5;"M";1;NA;23;109;107;NA;NA;24
"20";62784;1994;3;6;32;63,6185;-23,9955;154,5;"M";2;NA;25;149;146;NA;NA;24
"21";62842;1994;3;12;90;64,0991666666667;-23,5306666666667;115,5;"F";1;NA;33;368;349;NA;NA;24
"22";62842;1994;3;12;90;64,0991666666667;-23,5306666666667;115,5;"M";2;NA;36;465;443;NA;NA;24
"23";62842;1994;3;12;90;64,0991666666667;-23,5306666666667;115,5;"F";1;NA;30;277;268;NA;NA;24
"24";62842;1994;3;12;90;64,0991666666667;-23,5306666666667;115,5;"F";1;NA;37;487;465;NA;NA;24
"25";62842;1994;3;12;90;64,0991666666667;-23,5306666666667;115,5;"F";1;NA;28;237;225;NA;NA;24
"26";62842;1994;3;12;90;64,0991666666667;-23,5306666666667;115,5;"M";2;NA;27;223;220;NA;NA;24
"27";62842;1994;3;12;90;64,0991666666667;-23,5306666666667;115,5;"M";2;NA;22;119;115;NA;NA;24
"28";62820;1994;3;10;68;64,5651666666667;-24,6171666666667;245,5;"F";2;NA;33;393;384;NA;NA;24
"29";62820;1994;3;10;68;64,5651666666667;-24,6171666666667;245,5;"M";1;NA;14;22;20;NA;NA;24
"30";62788;1994;3;6;36;63,975;-23,34975;120,5;"F";2;NA;33;360;348;NA;NA;24
"31";62788;1994;3;6;36;63,975;-23,34975;120,5;"F";2;NA;42;550;519;NA;NA;24
"32";62789;1994;3;7;37;63,9891666666667;-23,6126666666667;136,5;"F";2;NA;32;353;337;NA;NA;24
"33";62789;1994;3;7;37;63,9891666666667;-23,6126666666667;136,5;"F";2;NA;34;520;485;NA;NA;24
"34";62789;1994;3;7;37;63,9891666666667;-23,6126666666667;136,5;"M";2;NA;32;345;330;NA;NA;24
"35";62789;1994;3;7;37;63,9891666666667;-23,6126666666667;136,5;"F";1;NA;34;434;419;NA;NA;24
"36";62789;1994;3;7;37;63,9891666666667;-23,6126666666667;136,5;"F";1;NA;35;429;417;NA;NA;24
"37";62789;1994;3;7;37;63,9891666666667;-23,6126666666667;136,5;"F";1;NA;32;323;313;NA;NA;24
"38";62789;1994;3;7;37;63,9891666666667;-23,6126666666667;136,5;"M";1;NA;18;49;47;NA;NA;24
"39";62754;1994;3;4;3;63,1345833333333;-20,5780833333333;301,5;NA;NA;NA;29;295;290;NA;NA;24
"40";62824;1994;3;10;72;64,5560833333333;-23,0780833333333;96,5;"F";2;NA;36;540;526;NA;NA;24
"41";62824;1994;3;10;72;64,5560833333333;-23,0780833333333;96,5;"M";2;NA;37;526;517;NA;NA;24
"42";62824;1994;3;10;72;64,5560833333333;-23,0780833333333;96,5;"M";2;NA;35;386;366;NA;NA;24
"43";62824;1994;3;10;72;64,5560833333333;-23,0780833333333;96,5;"F";2;NA;31;341;326;NA;NA;24
"44";62824;1994;3;10;72;64,5560833333333;-23,0780833333333;96,5;"F";2;NA;27;260;NA;NA;NA;24
"45";62824;1994;3;10;72;64,5560833333333;-23,0780833333333;96,5;"M";1;NA;20;75;72;NA;NA;24
"46";62810;1994;3;9;58;64,9541666666667;-26,30975;167;"F";1;NA;32;399;387;NA;NA;24
"47";62833;1994;3;11;81;64,23875;-24,5233333333333;208,5;"M";2;NA;34;331;320;NA;NA;24
"48";62810;1994;3;9;58;64,9541666666667;-26,30975;167;"M";2;NA;28;271;267;NA;NA;24
"49";62811;1994;3;9;59;64,915;-26,2514166666667;173;"M";2;NA;33;334;322;NA;NA;24
"50";62811;1994;3;9;59;64,915;-26,2514166666667;173;"M";2;NA;36;471;459;NA;NA;24
"51";62811;1994;3;9;59;64,915;-26,2514166666667;173;"F";1;NA;22;106;103;NA;NA;24
"52";62812;1994;3;9;60;64,92525;-25,5766666666667;166;"M";2;NA;27;215;210;NA;NA;24
"53";62815;1994;3;9;63;64,6579166666667;-25,21175;200,5;"F";1;NA;36;571;557;NA;NA;24
"54";62815;1994;3;9;63;64,6579166666667;-25,21175;200,5;"M";2;NA;32;400;394;NA;NA;24
"55";62815;1994;3;9;63;64,6579166666667;-25,21175;200,5;"M";1;NA;31;358;355;NA;NA;24
"56";62816;1994;3;9;64;64,9243333333333;-24,8604166666667;165;"M";2;NA;30;329;318;NA;NA;24
"57";62816;1994;3;9;64;64,9243333333333;-24,8604166666667;165;"F";2;NA;39;744;726;NA;NA;24
"58";62816;1994;3;9;64;64,9243333333333;-24,8604166666667;165;"M";1;NA;31;405;395;NA;NA;24
"59";62816;1994;3;9;64;64,9243333333333;-24,8604166666667;165;"M";2;NA;27;254;249;NA;NA;24
"60";62816;1994;3;9;64;64,9243333333333;-24,8604166666667;165;"F";2;NA;28;754;729;NA;NA;24
"61";62816;1994;3;9;64;64,9243333333333;-24,8604166666667;165;"M";2;NA;36;510;496;NA;NA;24
"62";62816;1994;3;9;64;64,9243333333333;-24,8604166666667;165;"F";2;NA;32;421;407;NA;NA;24
"63";62816;1994;3;9;64;64,9243333333333;-24,8604166666667;165;"M";1;NA;31;324;318;NA;NA;24
"64";62816;1994;3;9;64;64,9243333333333;-24,8604166666667;165;"F";2;NA;32;447;436;NA;NA;24
"65";62834;1994;3;11;82;64,2613333333333;-24,81425;171;"F";1;NA;27;175;170;NA;NA;24
"66";62834;1994;3;11;82;64,2613333333333;-24,81425;171;"M";2;NA;31;319;311;NA;NA;24
"67";62834;1994;3;11;82;64,2613333333333;-24,81425;171;"F";1;NA;24;145;139;NA;NA;24
"68";63000;1994;3;10;69;64,6035833333333;-24,6225833333333;255;"M";2;NA;37;492;477;NA;NA;24
"69";63000;1994;3;10;69;64,6035833333333;-24,6225833333333;255;"M";2;NA;32;336;330;NA;NA;24
"70";44182;1990;3;9;31;64,3016666666667;-24,5065;184;NA;NA;NA;31;280;NA;NA;NA;24
"71";44182;1990;3;9;31;64,3016666666667;-24,5065;184;NA;NA;NA;33;360;NA;NA;NA;24
"72";44177;1990;3;9;36;64,18575;-23,9399166666667;299,5;NA;NA;NA;36;500;NA;NA;NA;24
"73";44182;1990;3;9;31;64,3016666666667;-24,5065;184;NA;NA;NA;42;800;NA;NA;NA;24
"74";44170;1990;3;10;43;64,4455;-23,0964166666667;125;NA;NA;NA;36;540;NA;NA;NA;24
"75";44170;1990;3;10;43;64,4455;-23,0964166666667;125;NA;NA;NA;32;360;NA;NA;NA;24
"76";44176;1990;3;9;37;63,9914166666667;-23,6278333333333;139;NA;NA;NA;28;260;NA;NA;NA;24
"77";44176;1990;3;9;37;63,9914166666667;-23,6278333333333;139;NA;NA;NA;24;180;NA;NA;NA;24
"78";44169;1990;3;10;44;64,57925;-23,6668333333333;135;NA;NA;NA;40;760;NA;NA;NA;24
"79";44169;1990;3;10;44;64,57925;-23,6668333333333;135;NA;NA;NA;40;820;NA;NA;NA;24
"80";44159;1990;3;11;54;63,6125833333333;-23,998;157;NA;NA;NA;27;220;NA;NA;NA;24
"81";44159;1990;3;11;54;63,6125833333333;-23,998;157;NA;NA;NA;26;180;NA;NA;NA;24
"82";44159;1990;3;11;54;63,6125833333333;-23,998;157;NA;NA;NA;18;NA;NA;NA;NA;24
"83";44159;1990;3;11;54;63,6125833333333;-23,998;157;NA;NA;NA;24;160;NA;NA;NA;24
"84";44159;1990;3;11;54;63,6125833333333;-23,998;157;NA;NA;NA;29;280;NA;NA;NA;24
"85";44159;1990;3;11;54;63,6125833333333;-23,998;157;NA;NA;NA;18;NA;NA;NA;NA;24
"86";44169;1990;3;10;44;64,57925;-23,6668333333333;135;NA;NA;NA;35;460;NA;NA;NA;24
"87";315897;2008;3;4;56;65,789;-26,70175;287,5;"F";1;6;29;243;NA;NA;NA;24
"88";315900;2008;3;4;59;65,8183333333333;-26,06275;232,5;"F";2;7;36;520;NA;NA;NA;24
"89";315901;2008;3;4;60;65,8138333333333;-25,79925;206;"F";2;6;38;670;NA;NA;NA;24
"90";315902;2008;3;4;61;65,7720833333333;-25,7300833333333;207;"F";2;5;31;308;NA;NA;NA;24
"91";315902;2008;3;4;61;65,7720833333333;-25,7300833333333;207;"F";2;6;38;619;NA;NA;NA;24
"92";315903;2008;3;4;62;65,72075;-25,3813333333333;165;"M";2;6;29;262;NA;NA;NA;24
"93";315904;2008;3;4;63;65,7655833333333;-25,1174166666667;78;"F";2;6;34;436;NA;NA;NA;24
"94";315905;2008;3;4;64;65,74575;-24,9935;72,5;"F";1;7;35;531;NA;NA;NA;24
"95";315905;2008;3;4;64;65,74575;-24,9935;72,5;"F";2;5;37;713;NA;NA;NA;24
"96";315906;2008;3;4;65;65,816;-24,6964166666667;72;"F";2;11;46;1075;NA;NA;NA;24
"97";315907;2008;3;4;66;65,8205833333333;-24,9430833333333;69;"F";2;9;44;1137,9;NA;NA;NA;24
"98";315907;2008;3;4;66;65,8205833333333;-24,9430833333333;69;"M";1;4;25;171,9;NA;NA;NA;24
"99";315908;2008;3;4;67;65,8305;-24,9925833333333;76,5;"M";1;5;30;304;NA;NA;NA;24
"100";315911;2008;3;5;70;66,1526666666667;-22,9774166666667;127;"M";2;5;40;571,9;NA;NA;NA;24
"101";316103;2008;3;9;72;66,43825;-23,4889166666667;121,5;"F";1;5;33;425;NA;NA;NA;24
"102";316104;2008;3;10;73;66,4815;-23,54275;137;"M";2;5;32;391;NA;NA;NA;24
